treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,MeasureID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,nostems,status,date
104,143,10009,10009,DACEXC,113,10.31,245.36,439947,5,193,1.4,1.4,15280,alive,MAIN;A,1,A,NA
119,158,100104,100104,MYRSPL,1021,182.89,410.15,466597,5,40.4,1.25,1.26,15376,alive,MAIN;A,1,A,NA
180,225,100171,100174,CASARB,921,164.61,409.5,466623,5,45,1.3,1.32,15373,alive,SPROUT;A,2,A,NA
602,736,100649,100649,GUAGUI,821,148.96,414.44,466727,5,33,1.3,1.3,15371,alive,MAIN;A,1,A,NA
631,775,10069,10069,PREMON,213,38.3,245.3,439989,5,140,1.25,1.24,15280,alive,MAIN;A,1,A,NA
647,793,100708,100708,SCHMOR,821,143.24,410.91,466743,5,246,1.25,1.25,15370,alive,MAIN;A,1,A,NA
1086,1339,10122,10122,DRYGLA,413,68.89,253.04,440021,5,176,1.45,1.45,15281,alive,MAIN;A,1,A,NA
1144,1410,101285,101285,SCHMOR,920,161.11,395.19,466889,5,74,1.3,1.3,15377,alive,MAIN;A,1,A,NA
1168,1438,10131,10131,DACEXC,413,70.58,251.94,440031,5,604,1.3,1.31,15281,alive,MAIN;A,1,A,NA
1380,114352,101560,149529,CASARB,820,141.86,385.8,466957,5,NA,NA,NA,15376,broken below,SPROUT;LS;B,2,A,NA
1564,1910,10176,10176,HOMRAC,513,99.78,255.44,440069,5,370,2.1,2.1,15282,alive,MAIN;A,1,A,NA
1652,2026,101867,101867,OCOLEU,720,131.15,383.83,467009,5,NA,NA,NA,15373,broken below,MAIN;A;LS;B,1,A,NA
1840,2240,10208,10208,PREMON,613,115.52,245.4,440098,5,161,1.3,1.3,15282,alive,MAIN;A,1,A,NA
2346,2856,102640,102640,SCHMOR,620,115.77,388.81,467145,5,73,1.3,1.3,15372,alive,MAIN;A,1,A,NA
